식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
붉은대게-알,100,-,13.4,-,4
붉은대게-암컷-다리,100,-,14.5,-,0.6
붉은대게-암컷-몸통,100,-,8.9,-,3.1
붉은맛,100,-,-,-,0.9
붉은맛,100,95,16.1,1.8,-
붉은맛,100,-,16.1,-,-
붉은멍게,100,78,9.2,2.6,-
붉은멍게,100,-,-,-,0.4
붉은메기,100,-,-,-,0.3
붉은메기,100,83,18.2,0.7,-
붉은메기,100,-,18.2,-,-
붉은메기,100,-,-,-,-
붕어,100,-,-,-,-
붕어,100,-,-,-,1.2
붕어,100,-,18.1,-,-
붕어,100,94,18.1,1.8,-
붕어-알,100,-,25.6,-,2.6
붕장어,100,-,-,-,-
붕장어,100,-,17.1,-,15.1
붕장어,100,135,17.4,6.4,-
붕장어,100,-,-,-,-
블루길,100,83,17.8,0.8,-
블루길,100,-,-,-,-
블루길,100,-,18.6,-,0.6
블루길-알,100,-,-,-,7.7
비단가리비,100,-,15.2,-,-
비단가리비,100,76,14.5,1,-
비단고둥,100,95,17,1.2,-
