식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"옥수수, 찰옥수수, 일미찰, 삶은것",100,129,5.14,1.37,25.69,2.83
"옥수수, 찰옥수수, 찰옥4호, 삶은것",100,156,4.73,1.9,31.65,3.06
"옥수수, 찰옥수수, 황금맛찰, 삶은것",100,118,4.78,1.24,23.48,1.98
"옥수수, 찰옥수수, 찐것",100,132,6.6,1.4,25.4,-
"옥수수, 찰옥수수, 말린것",100,371,11.5,4.6,74.7,-
"옥수수, 가루",100,364,7.32,0.97,83.3,0.54
"옥수수 과자, 강냉이",100,409,7.16,3.25,87.9,13.52
"옥수수 과자, 팝콘, 전자레인지 조리",100,497,8.12,27.28,61.18,0
"옥수수 과자, 팝콘, 캐러멜맛",100,459,4.77,14.36,77.74,34.78
"옥수수, 통조림, 가당",100,105,2.07,0.73,22.45,4.17
"옥수수, 통조림, 크림",100,82,1.7,0.5,18.6,-
"옥수수, 통조림, 홀커넬",100,78,2.3,0.5,17.8,-7.3
옥수수묵,100,55,1.1,0,12.6,-
"옥수수 샐러드, 콘샐러드",100,104,3.2,0.2,22.4,-
"율무, 도정, 생것",100,377,15.4,3.2,70.5,-
"율무, 죽",100,44,0.5,0.4,9.5,-
"율무 국수, 말린것",100,368,13.2,1.2,74.6,-
"잡곡, 현미, 찹쌀, 현미찹쌀, 보리 등, 생것",100,358,9.79,2.09,73.4,0.93
"조, 메조, 도정, 생것",100,373,11.48,3.91,71.7,0.71
