식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
치즈 더블치즈엣지(오리지널 L),112,292,14,-,-,7
치즈가든(오리지널 L),243,601,29,-,-,9
치즈가든(오리지널 M),109,250,10,-,-,5
치즈가든(나폴리L),132,287,14,-,-,6
치즈가든(나폴리M),171,363,16,-,-,7
치즈가든(씬 L),100,209,9,-,-,3
치즈가든(씬 M),137,303,12,-,-,6
치즈가든(슈퍼시드 함유 도우L),114,249,10,-,-,6
치즈가든(슈퍼시드 함유 도우M),109,245,11,-,-,5
치즈가든 더블치즈엣지(오리지널 L),129,296,11,-,-,6
치즈가든 더블치즈엣지(오리지널 M),138,316,15,-,-,4
치즈피자 더블치즈엣지(오리지널 M),168,380,19,-,-,5
페퍼로니(오리지널 L),145,397,20,-,-,5
페퍼로니(오리지널 M),102,271,14,-,-,4
페퍼로니(나폴리L),118,327,16,-,-,4
페퍼로니(나폴리M),148,426,24,-,-,5
페퍼로니(씬 L),127,384,20,-,-,4
페퍼로니(씬 M),131,386,22,-,-,4
페퍼로니(슈퍼시드 함유 도우L),109,336,18,-,-,4
페퍼로니(슈퍼시드 함유 도우M),105,283,14,-,-,4
페퍼로니 더블치즈엣지(오리지널 L),124,341,16,-,-,6
페퍼로니 더블치즈엣지(오리지널 M),124,341,16,-,-,4
포테이토(오리지널 L),147,403,20,-,-,4
포테이토(오리지널 M),139,322,15,-,-,4
포테이토(나폴리L),149,352,16,-,-,4
포테이토(나폴리M),115,260,15,-,-,3
포테이토(씬 L),122,292,16,-,-,3
포테이토(씬 M),103,224,12,-,-,3
포테이토(슈퍼시드 함유 도우L),109,243,12,-,-,3
포테이토(슈퍼시드 함유 도우M),139,317,15,-,-,5
포테이토 더블치즈엣지(오리지널 L),150,350,16,-,-,5
포테이토 더블치즈엣지(오리지널 M),154,362,18,-,-,3
핫치킨(오리지널 L),174,422,21,-,-,4
핫치킨(오리지널 M),119,287,13,-,-,9
핫치킨(나폴리L),144,346,15,-,-,13
핫치킨(나폴리M),188,466,22,-,-,15
핫치킨(씬 L),114,274,14,-,-,8
핫치킨(씬 M),152,410,20,-,-,18
핫치킨(슈퍼시드 함유 도우L),132,323,15,-,-,14
핫치킨(슈퍼시드 함유 도우M),119,297,13,-,-,10
핫치킨 더블치즈엣지(오리지널 L),146,361,16,-,-,10
핫치킨 더블치즈엣지(오리지널 M),143,356,18,-,-,8
먹물 오징어링,182,441,22,-,-,9
슈퍼곡물 치킨(10조각),105,650,17,-,-,1
옥수수 버터구이(6개),178,481,36,-,-,4
치킨퐁듀 그라탕,176,370,36,-,-,20
퀴노아 치킨 샐러드,358,827,32,-,-,14
트러플 리조또,137,121,8,-,-,10
포테이토 순살치킨(3조각),285,650,17,-,-,8
프레시 코울슬로,305,729,42,-,-,12
프레시 콘샐러드,100,133,1,-,-,9
프렌치 라따뚜이,100,135,2,-,-,11
하프&하프 스파게티 (NEW 치즈 & 화이트 크림),329,382,20,-,-,16
화이트 크림 스파게티,395,705,28,-,-,11
NEW 치즈 볼로네즈 스파게티,392,851,29,-,-,9
티본스테이크&쉬림프(클래식)M,188,433,22,-,0,13
티본스테이크&쉬림프(클래식)L,101,226,11,-,0,7
티본스테이크&쉬림프(크런치)M,123,292,13,-,-,7
티본스테이크&쉬림프(크런치)L,121,292,13,-,-,7
티본스테이크&쉬림프(리치골드)M,118,286,14,-,-,7
티본스테이크&쉬림프(리치골드)L,113,274,13,-,-,7
티본스테이크&쉬림프(치즈크러스트)M,106,260,14,-,-,5
티본스테이크&쉬림프(치즈크러스트)L,105,254,13,-,-,5
더블치즈 티본스테이크(클래식)M,196,466,23,-,-,17
더블치즈 티본스테이크(클래식)L,199,471,22,-,-,19
더블치즈 티본스테이크(크런치)M,117,284,13,-,-,8
더블치즈 티본스테이크(크런치)L,118,285,13,-,-,8
더블치즈 티본스테이크(리치골드)M,115,282,14,-,-,8
더블치즈 티본스테이크(리치골드)L,110,267,13,-,-,8
더블치즈 티본스테이크(치즈크러스트)M,103,257,14,-,-,6
더블치즈 티본스테이크(치즈크러스트)L,101,248,13,-,-,6
쉬림프올인(클래식)M,192,392,23,-,-,6
쉬림프올인(클래식)L,100,207,12,-,-,3
쉬림프올인(크런치)M,117,274,12,-,-,5
쉬림프올인(크런치)L,124,290,13,-,-,5
쉬림프올인(리치골드)M,116,274,14,-,-,5
쉬림프올인(리치골드)L,116,270,13,-,-,5
쉬림프올인(치즈크러스트)M,104,247,13,-,-,3
쉬림프올인(치즈크러스트)L,107,249,13,-,-,3
갈릭버터쉬림프(클래식)M,187,440,21,-,-,9
갈릭버터쉬림프(클래식)L,101,233,11,-,-,5
갈릭버터쉬림프(크런치)M,120,294,13,-,-,6
갈릭버터쉬림프(크런치)L,127,312,14,-,-,6
갈릭버터쉬림프(리치골드)M,119,294,15,-,-,7
갈릭버터쉬림프(리치골드)L,118,293,15,-,-,6
갈릭버터쉬림프(치즈크러스트)M,107,266,14,-,-,4
갈릭버터쉬림프(치즈크러스트)L,110,271,14,-,-,4
토핑킹(크런치)M,118,297,13,-,-,6
토핑킹(크런치)L,123,310,14,-,-,6
토핑킹(리치골드)M,117,297,16,-,-,7
토핑킹(리치골드)L,114,291,15,-,-,6
토핑킹(치즈크러스트)M,105,270,14,-,-,4
토핑킹(치즈크러스트)L,106,269,14,-,-,4
치즈킹(크런치)M,123,322,15,-,-,5
치즈킹(크런치)L,126,331,15,-,-,5
치즈킹(리치골드)M,122,322,17,-,-,5
치즈킹(리치골드)L,117,311,17,-,-,5
치즈킹(치즈크러스트)M,110,295,16,-,-,3
치즈킹(치즈크러스트)L,109,290,16,-,-,3
큐브스테이크(크런치)M,121,304,12,-,-,6
큐브스테이크(크런치)L,129,321,13,-,-,7
큐브스테이크(리치골드)M,120,304,15,-,-,7
큐브스테이크(리치골드)L,121,301,14,-,-,7
큐브스테이크(치즈크러스트)M,108,276,14,-,-,4
큐브스테이크(치즈크러스트)L,113,280,13,-,-,5
갈릭마블 스테이크(크런치)M,118,284,12,-,-,5
갈릭마블 스테이크(크런치)L,124,300,13,-,-,5
갈릭마블 스테이크(리치골드)M,117,284,13,-,-,6
갈릭마블 스테이크(리치골드)L,116,300,14,-,-,5
갈릭마블 스테이크(치즈크러스트)M,105,257,13,-,-,3
갈릭마블 스테이크(치즈크러스트)L,107,259,13,-,-,3
쉬림프&스테이크 올인(크런치)M,117,278,12,-,-,5
쉬림프&스테이크 올인(크런치)L,123,294,13,-,-,5
쉬림프&스테이크 올인(리치골드)M,119,292,14,-,-,5
